Dataset Length Time sMAPE Euclidean diff_Euclidean DTW diff_DTW DTW_reconstructed diff_DTW_reconstructed Euclidean_reconstructed diff_Euclidean_reconstructed
0 49 13.707926988601685 155.97905326755586 7.226497619630887 7.9801544550570185 34.41408897223449 23.003891475543988 0.7278273066444093 0.9170147953096686 8.053697995327768 13.72717262204583
1 49 15.307768106460571 134.40760659927864 2.0992314485627244 2.9222596092031603 1.5160224597831042 5.011115436553525 0.869735790652418 0.04428977039042262 0.9325962634776198 0.21045134922452416
2 49 16.989602088928223 111.73855412717806 4.34070704605841 5.322362594585439 10.349441453470629 15.123002639684072 0.4665121549701196 0.08285242614113382 4.27651000712651 6.6006890298836876
3 49 11.084442138671875 96.50829734324317 4.343783141652803 5.127520959483935 17.206061296561376 22.072551774114345 0.10920360695972843 0.18770465042903692 3.639201635424473 6.494116024781894
4 49 16.120402097702026 94.11161497254068 3.223889947585903 3.7519678769650664 5.782661459389377 7.757906718595227 0.22399201286127482 0.038770167563511225 0.4767703413485354 0.1969014158494327
5 49 30.025863885879517 145.63306997258783 5.961294060214591 9.012431080471062 21.35014312507274 49.339369833961115 0.08746106826709298 0.024163418259977407 0.29573817519402706 0.1554458692277714
6 49 26.924754858016968 127.04705843191456 7.530228903080827 10.099894109930506 12.17905426672596 21.088459439799458 0.24163248608554128 0.01610883240570285 0.4915612739888501 0.12692057518662153
7 49 21.56713891029358 151.55078127368643 6.433292436475339 10.058525550952279 12.915751092976897 27.463463483996083 0.5778787668612896 0.6158798649088562 7.425639192695623 12.77964336955726
8 49 16.993746757507324 148.85488080284566 5.130113551876151 6.453315814919914 12.365763449833448 24.449190236557662 0.30045065232212687 0.016774586806050793 0.5481337905312232 0.12951674334251456
9 49 20.680889129638672 142.03218075335207 4.33091101461644 4.154173649847837 8.130114942194076 6.282592898444716 0.2473908169134723 0.025975318322363158 0.4973839733178707 0.16116860216048023
10 49 6.549305200576782 189.73179551372297 2.909377746254641 4.1247720768380205 8.464478870401734 17.013744685862637 0.35981192188233835 0.20534347899474226 7.363180197915241 12.230748270717642
11 49 15.486814022064209 146.5677173117893 4.538199489620131 7.512220059589426 8.266622879819176 24.201120488854755 0.5845209267279213 0.046404127662112216 0.7645396828994038 0.21541617316745792
12 49 7.784759759902954 198.6899304185393 4.626453518354403 7.122138098111396 21.404072157493832 50.7248510885698 0.10845524318449679 0.04088239949609844 0.32932543658894126 0.20219396503382206
13 49 5.5680718421936035 192.51853518662745 3.9448122651242583 5.676590345206797 15.561543807074784 32.22367794729503 0.12783437331956737 0.03726580760585068 0.3575393311505286 0.19304353810954325
14 49 14.001301050186157 170.12162181893567 3.664329615624833 4.552011073477511 12.857764277094109 20.413155126092555 0.06870494408162438 0.037391664482493134 0.2621162796959097 0.19336924388974877
15 49 18.307193994522095 163.85854557702484 6.151415846285132 4.161225969063344 37.795262684784674 16.960437668207 0.286523472227943 0.5832238777433182 1.498347144270773 2.7430407991636523
16 49 20.899806261062622 156.45892058893398 6.814237568123292 9.241346929425108 16.351626135437414 48.83336713601931 1.7731679478201148 3.2360315047717174 4.775706516195931 8.421800158683698
17 49 25.102554321289062 149.71628024023806 4.820040990415853 5.554559381662997 11.792523332406127 17.439650365195398 0.27051823816874637 0.3406922761887577 5.53038578971975 9.153392120837848
18 50 13.579221963882446 174.02454079383253 7.1706610294713355 5.841842806196808 33.70319575016103 16.035928505202158 0.08413289003238344 0.03092593818661652 0.2900567014091959 0.1758577214301849
19 50 12.299601793289185 65.14446737166439 2.3503111300417836 2.739358386293051 5.387272430688095 7.403488777276417 0.6478695863016058 1.130909127388756 4.522456242298076 7.748110717889
20 50 14.012867212295532 67.42203349857388 2.357853202352695 1.698210755927922 4.5391130966036 1.5642147876989312 0.6021522779761187 0.017306810682379294 0.7759847150402631 0.13155535216166345
