Dataset Length Time sMAPE Euclidean diff_Euclidean DTW diff_DTW DTW_reconstructed diff_DTW_reconstructed Euclidean_reconstructed diff_Euclidean_reconstructed
0 462 36.01156711578369 21.36956516075594 7.092855343067992 10.643828600214968 25.232071517481675 38.10249975486174 10.565439136102222 0.511841067961908 35.57518248255756 43.90945299690728
1 462 103.01509499549866 145.40038851073624 35.32207142683553 9.56766190404346 1128.6070915384093 55.35952238657672 33.565044064716936 4.272099133043602 33.34973868582988 43.43230728300285
2 462 47.375908851623535 53.65853006786624 8.054063119845228 10.029082588575077 16.08519616497251 26.66701609564394 18.27949712222677 1.331509880698247 30.93386569385313 37.58549561132355
3 462 82.63612818717957 88.2295259383168 8.97896637220064 11.184036549656193 26.840964299495862 51.31543319234987 21.38478682138217 0.8356172139383382 30.672918812147756 45.59141998684698
4 462 165.33471608161926 89.47194296985002 9.63307392332145 14.636644596463503 17.7621400355331 40.88550106349025 32.441332709377846 0.9522575892422155 31.4514590906719 42.36757286940257
5 462 78.43626809120178 144.07570935704675 31.472576785131306 10.797798052020863 832.7473654999573 52.35088818158683 6.610511866570704 0.507118644536885 30.154114859810544 39.77755953391952
6 462 143.5335659980774 70.91818192375723 9.604571566237334 14.216252572083544 18.191190595200368 62.96819521108188 101.40027882665972 13.14966915608908 30.80214799125858 41.7817203268716
7 462 99.28680086135864 58.91938907346411 9.585177545633572 13.903276870281122 21.5729077652586 83.51286726257102 30.957825926179982 0.585131139653377 32.35283877225858 46.64630513585293
8 462 92.96221804618835 81.10957543599422 9.790426006214025 14.130214535958137 17.938141093531122 52.36397811294583 71.7185148495061 0.6898353630771946 30.86764667394282 44.49969905771668
9 462 87.61217784881592 48.053875546914355 8.358277448281678 10.821866004808884 19.502978617946866 49.374494225799715 19.71081025178147 0.44907902494654195 29.08367931783571 42.28096805137594
10 462 56.674322843551636 25.957896049011502 7.469322064510351 10.026576715909012 55.69960526432054 100.53224064000867 34.51089398013387 0.5205813383873552 31.20804696830618 41.3888406933654
11 462 75.15944027900696 118.74715398034269 15.745068743807408 10.874191476335158 200.56075975577397 24.755839653051424 33.31061907781912 0.6620136544141464 31.299342071169185 43.26623468509059
12 462 46.88863277435303 71.13549889667559 12.581098429493814 12.936206613414653 34.79329547739908 46.339829571305685 13.066492462126476 0.36522736506517345 28.795791656310747 38.85745895342283
13 462 39.09919309616089 99.18311386994591 6.337113412651916 8.544056829067321 21.924009169437625 36.209171928985874 31.482415837821627 0.2668732790875707 30.57214763936434 41.73832423018857
14 462 19.9915452003479 23.556477414160728 10.371037664894347 13.884589463848963 23.18286070866713 24.25112695010154 9.035010498481508 0.07574205617632983 33.56372951786744 42.286633976788956
15 462 108.51408100128174 106.91303714263836 11.471960395066729 16.401124478480703 28.135674582116074 64.7335712441843 20.09730148650489 1.1574239077298634 30.730944810324235 41.218564733681745
16 462 58.925156116485596 64.24694971106332 9.630683769049812 12.351803909453464 24.079383007253206 50.48985177232304 75.93909250097717 0.39466537345707575 27.340092846047334 36.92520373958169
17 462 34.01914691925049 91.41752188131049 19.962149250776044 7.242310846007252 398.4874027102585 52.45106639019424 9.497666863209648 0.179322935328692 35.973811430564375 42.90024674115678
18 462 49.753320932388306 190.86549562511811 21.206866744666833 6.849024959573876 412.3180965975148 29.928307299689845 25.11605632280013 28.552111241955394 29.601416081393353 39.86775750579852
19 462 191.15122604370117 101.08761997453179 8.661390759070427 10.938405784372366 27.59743896771636 15.309876720662828 57.99478070316699 1.524594545596729 31.336658133623427 40.48291186667173
